Date,Item Name,Quantity,Price,Total,Category
2024-01-15,Chicken Caesar Salad,12,14.99,179.88,Salads
2024-01-15,Grilled Salmon,8,22.99,183.92,Entrees
2024-01-15,Margherita Pizza,15,16.99,254.85,Pizza
2024-01-15,Beef Burger,20,13.99,279.80,Burgers
2024-01-15,Fish Tacos,3,12.99,38.97,Appetizers
2024-01-15,Chocolate Cake,7,8.99,62.93,Desserts
2024-01-16,Chicken Caesar Salad,14,14.99,209.86,Salads
2024-01-16,Grilled Salmon,12,22.99,275.88,Entrees
2024-01-16,Margherita Pizza,18,16.99,305.82,Pizza
2024-01-16,Beef Burger,25,13.99,349.75,Burgers
2024-01-16,Fish Tacos,2,12.99,25.98,Appetizers
2024-01-16,Chocolate Cake,9,8.99,80.91,Desserts
2024-01-17,Chicken Caesar Salad,16,14.99,239.84,Salads
2024-01-17,Grilled Salmon,10,22.99,229.90,Entrees
2024-01-17,Margherita Pizza,22,16.99,373.78,Pizza
2024-01-17,Beef Burger,28,13.99,391.72,Burgers
2024-01-17,Fish Tacos,1,12.99,12.99,Appetizers
2024-01-17,Chocolate Cake,11,8.99,98.89,Desserts